index,0
Start Spreading the News,https://docs.google.com/document/d/e/2PACX-1vStHBl5AvoF6khAfkbltamX5fhBWLYoiw0hhguKaMQ7cjqXxsHb6NLnOE4MGw91rHB2cWJvJw_ycl3A/pub
Mutant Santa Melee,https://docs.google.com/document/d/e/2PACX-1vTqtrT_dqc81-P9pdpVdozxro2kdRde-8nheSrdUxl_XSabbc3Utf6YTU8sdo5o4VQssVmffwHtF86n/pub
Pigeon Plus Ones,https://docs.google.com/document/d/e/2PACX-1vRTYB8W-i94hSAQLMSszkj95nTkvq7K0BrR5-ygcpw2npmIm4LEnIsY5heJPKBfGolrtLxgif1IVvkD/pub
Scramble in the Sewers,https://docs.google.com/document/d/e/2PACX-1vRGGv_2PEdZuHm4pWQhcKUTYgKaOSI4NFVaokUx7hjv6tbQ-QOpa1tYlaNEoitgSX9FIp84twLzua79/pub
A New York Wedding,https://docs.google.com/document/d/e/2PACX-1vTyqC88J4UvK2yNzBX0f2QP8SU-rr9JSB5jJlY9rL8S3RpdTcQE-bDSAWkSoExnL1325eJbKuHL1IdV/pub
The War of Bugs and Rats,https://docs.google.com/document/d/e/2PACX-1vQYHPHT0yZJ_4t45ZISr2PaNB2DLxO9zrlcJQyQVMnKRa2S6XEEaR8ZA90gD3iGoMJ2hAzT7hGUQOh-/pub
We Need to Talk About Pete,https://docs.google.com/document/d/e/2PACX-1vSGUbuAFIXV1KloVUs3kJq072nkCtn6u1-o0iRy8SQ7q_oD0qj3Yrbj1hz6rQ1ra0ZNSqr2vhjhYp7E/pub
Subway Skirmish,https://docs.google.com/document/d/e/2PACX-1vRyLH5K5qa4ZEc2oZRX19ruwqPFyOFliNvEf3ihdx_kdmwcwJwR1YKXAciJ9loaahY0ryAzLrLMwH_q/pub
Borough of Dreams,https://docs.google.com/document/d/e/2PACX-1vQaQxo9Fgedgh8O-Q-unqi2Ox078c8bVTcvIB7ZEr2ZFnzYcXxVRDOunB4hiiEgXPpssiWm-62PHpYY/pub
Panic at the Art Show,https://docs.google.com/document/d/e/2PACX-1vTpdX3Nq2PzM0vWymsZRoVbfZ-PHCvMDEnew1E8-aPNl50K8rJlGFYMRQTywUncleUEcQsgQm0OtUv0/pub
Home for the Holidays,https://docs.google.com/document/d/e/2PACX-1vSHZ7lfAWbKOlpzhMIFFxcOm0EBzDUNYq3aYgkMl8i4szx0v9lTw3aoZ7prF0CKlASyKeaynGlIhMQb/pub
Broadway Brawl,https://docs.google.com/document/d/e/2PACX-1vQnI0AZeM6ghuiLMtUt1a7vK0H22YvUEyzYyx0XW1apNy0NKlgbsJA4CL2Rt14dqxaycwumGLgedvCc/pub
Faeries and Feces,https://docs.google.com/document/d/e/2PACX-1vS_zvKVwkNyQkXzjGSiSyNDOGTtYZEdheTacuLsTkbK6VSLNQGZbISdp7_f0L00Koh4vzwWwCfPAQJj/pub
Showdown at the Stock Exchange,https://docs.google.com/document/d/e/2PACX-1vTjMKO8vnsszuJzKzqEX6RWoNEsCMExrjA5Ep4rk3USYNfqBnxJa01m2WUbi9S-yGTTvDqXJDo3kl5c/pub
Hall of Heroes,https://docs.google.com/document/d/e/2PACX-1vQ-Dfs26u6aU9iF8vy1sYHQTKuoajkGCEXYga9fTwwec-BCyXqC_KuudIlk8u0StYjWxIWpKrepT5ua/pub
Times Squaremageddon,https://docs.google.com/document/d/e/2PACX-1vT40M5VI9LlBUEoa0L8Mx1Q5uOS4nlQdWe3eph3fBE3hqn52AiuqAdUGflBSU7BsCJGdNqMxfCk1vm6/pub
Times Squaremageddon Pt. 2,https://docs.google.com/document/d/e/2PACX-1vQqv3877Z80jtIVvZ4A60QXBD30qd2rLHRLt0U81w1aqawlXtMD9xMDQb3e0-ZElioJsC0icbsCPVIf/pub
The Fall of New York,https://docs.google.com/document/d/e/2PACX-1vTdwc5mosFJttvPPcsaRAV9TMqAXhL6vMx94rHuxZ4T7nA43YrjoZbZs7GYAFAnDM0IqKl-nf-_KUM7/pub
Heaven and Hell On Earth,https://docs.google.com/document/d/e/2PACX-1vSrA-Kw7CpBdvqrOyNTfsOhTZVLvWv2u9L3x5a3jDSf3yTxgkpOapUoVQ0FzSKzwgIzyCWtx-HrQeW1/pub
The Mystery of the Haunted Subway,https://docs.google.com/document/d/e/2PACX-1vQX3F-NU0c9B-FdwJm9myuUOa7g21stPnQADy2R93kPKWO_Sgo6Ew_IRtlMRF8wc-87MEo_fOu08vPF/pub
We Need To Talk About Cody,https://docs.google.com/document/d/e/2PACX-1vQqBZHKBAeUrVdqb8iFvzkBMgA9qEcqSErByCJGQUM9sAWY3BjfsW60cPfm-X-8NOlayd54orcVYVNN/pub
Trouble at the Tunnel,https://docs.google.com/document/d/e/2PACX-1vTxNCIHDySen1BTqDmlF8ggNBnUfcBtw2m1OomBHM_2BMii8FyZ3p1t6ct_XxXUhtMTxB8pB0wWTczY/pub
Collaborators,https://docs.google.com/document/d/e/2PACX-1vR8y1RCQUPs7X1kuMMSR4YvOhasjFDCJbM0ktL8a3SyEjOsTuvjx97thiWp1CthVoaWLfAILqPf4pu1/pub
Parade of Peril,https://docs.google.com/document/d/e/2PACX-1vRo-pr_qk015ueEe39g-vF6ZaRW29UR_PLQXbZXJ0PARxfYBcgbbvd9XaMLPUhjUORP0Gb5aulm2B_X/pub
Feasts & Families,https://docs.google.com/document/d/e/2PACX-1vSX1avozNfVnsObUoyS0ISp2_HE-zAykHLoRcxIiuu9BWe4WNFufEeokEDGx5tDMsqoIS3ZJ3Sx01hm/pub
Fight At The Museum,https://docs.google.com/document/d/e/2PACX-1vR5CQSqWOx4d3E6HcRCFgs3tothVhtfJmSJBLY8zxB2CsBQOPT79rkXU_vHpFz_aXObpWl5GUd2vhUG/pub
Nulla Dies Umquam Memori Vos Eximet Aevo,https://docs.google.com/document/d/e/2PACX-1vSYuPX5e-LOLozX7ACHPaF6a_4REMptB94D7JEoWvWYm0Bku-hLFjz3H-UOOmgQrXPcw-36fvZgL93N/pub
Let's Get Tiny,https://docs.google.com/document/d/e/2PACX-1vQxR7EufHNc7uZeSOF82Bj8y6oTJSHRddADFmUlpHftq4s4pQCflZlcdR86cTYEdmFel1N-GJB-CAGt/pub
The Battle of the Hot Dog Cart,https://docs.google.com/document/d/e/2PACX-1vTepsHVIrSHNRW8XYjwxL5XxZ7Pg_O_KvMRDrVckm1Klm895bWWQ5ztCXg9VOmhyqalgFPQpu2M8kyx/pub
Of Rats & Dragons,https://docs.google.com/document/d/e/2PACX-1vR_7UotSVzCZ-b1Aoji9Gjog0-4mJCICfMV-tiM94WhSmKU2dGTjNTlEdKRb7mRw0nmImlLQciZmCG0/pub
History Checks and Lost Dex,https://docs.google.com/document/d/e/2PACX-1vRMTrJamdnlsqD1TP73kOfgi4lKlyLCDk7Jeq-JEcdf97oeb2hjOVOFCewtITo8qIeywya9xKKjqQXk/pub
For the Hoard!,https://docs.google.com/document/d/e/2PACX-1vS9iDlt2hiI7EwOdsaKxfwyYMUMJSlwIepUY9ksytvaq6zgn3cbI647QabRtLDqz5njAUGsI1h3bM4l/pub
Treachery at Gramercy,https://docs.google.com/document/d/e/2PACX-1vTJU-P2kGQtRBi8s7pNj7G94T7cMVEWpmZ-F5FdSkEBpHPrN_N-EMv7HQP0Tf8ZlsPvNgz_5ItiSLuT/pub
Two Sides of the Same Coin (Part 1),https://docs.google.com/document/d/e/2PACX-1vR5QJD4PpKu_YcjFGJPQJkL1Zoh3oWFOEMn7PEoAFHSaVKqJeyU8jMYO_qKVfv5H0fYuwBW2O2LqdTw/pub
Two Sides of the Same Coin (Part 2),https://docs.google.com/document/d/e/2PACX-1vRBjKXrw5NwqYEZnQnztaFFZg6xNPlRxsmdMLuhRutCxAIg4p_ZJsIPtWhdzDKMnAPl0C4IT9LJ9tUx/pub
Big Little Crimes,https://docs.google.com/document/d/e/2PACX-1vSluVSa79YKIHYtGA9_2TNPJqCu3K-AnMkVSiLghGTqcY9axWLSKJE2kLgHG0AmmzzUhKTxlMX5tPf3/pub
Chicanery at Shoeby's Casino,https://docs.google.com/document/d/e/2PACX-1vQfN-mGN3O64tqJIiOye7h_rauCXdLtsP3iAYxPjseXK1M7Z9E1SvpSfu7Zobsv-hmyJT-1Y25hgUwo/pub
Scheming and Scoring Fairy Dust,https://docs.google.com/document/d/e/2PACX-1vSIeqvt-30BA8T-F8pzseU4zmfMxazKhLxc1Al5SYBjaoDhyIIkiMyGY6j4-JupAZI-hDfGe9gpFhzg/pub
Breaking and Entering,https://docs.google.com/document/d/e/2PACX-1vSiF5Rh1q0N4NTO__rwv_-d7Rh6s5IiulDVGRnRvQzAB5DIKGOGZ7haZC0RZCSU4AOEK2kC-TK0ZyoB/pub
Fighting with Fire,https://docs.google.com/document/d/e/2PACX-1vTkSHugnGiFWmyFK2aMfnw2WcTQrbH0HJ3fiYf1_lJMc0NU9nJTXU1LRlReWj9VQn4T6GteLGO7li-5/pub
The Great Chase,https://docs.google.com/document/d/e/2PACX-1vRyigX5pQp-fOplwRHL9G9N16WbcuGZAlFxdkUMCvCjUQawzatl5vjXftlejwCIXkBL9VIjZiz4N0pU/pub
There is Strength in Sweetness,https://docs.google.com/document/d/e/2PACX-1vSjZuF4PeyhFDeoxlHU3jPhM5UBkpg2DMacQzj-CWDtmn23ym2rHEwGj3ryvXgdH3vbDawMTILkDDvo/pub
Ambush on the Sucrosi Road,https://docs.google.com/document/d/e/2PACX-1vQhNtM5qNvfjlpumT4iYAC47RkRwiT8rsx_bI73eBGFiYgDfnw1_tuqxuJ-PiRnHaHHq5HtmTXcQE4q/pub
Keep Sharp,https://docs.google.com/document/d/e/2PACX-1vQM4WxyUg0mCsoSdXDNHcOsylwVlrOThP7fS-PEspvA9kxbBtZT6FXiigTD9mjtqWoQ36NHaY4-_bsB/pub
